"04-01-2014 14h00";47;0;6;0;0;0;
"04-01-2014 14h15";46;0;5;0;0;0;
"04-01-2014 14h30";47;0;5;0;0;0;
"04-01-2014 14h45";48;0;6;0;0;0;
"04-01-2014 15h00";47;0;5;0;0;0;
"04-01-2014 15h15";47;0;5;0;0;0;
"04-01-2014 15h30";47;0;6;0;0;0;
"04-01-2014 15h45";45;0;5;0;0;0;
"04-01-2014 16h00";45;0;5;0;0;0;
"04-01-2014 16h15";45;0;5;0;0;0;
"04-01-2014 16h30";46;0;6;0;0;0;
"04-01-2014 16h45";45;0;5;0;0;0;
"04-01-2014 17h00";45;0;5;0;0;0;
"04-01-2014 17h15";46;0;6;0;0;0;
"04-01-2014 17h30";45;0;5;0;0;0;
"04-01-2014 17h45";45;0;5;0;0;0;
"04-01-2014 18h00";46;0;5;0;0;0;
"04-01-2014 18h15";45;0;5;0;0;0;
"04-01-2014 18h30";45;0;5;0;0;0;
"04-01-2014 18h45";46;0;5;0;0;0;
"04-01-2014 19h00";46;0;5;0;0;0;
"04-01-2014 19h15";47;0;5;0;0;0;
"04-01-2014 19h30";45;0;5;0;0;0;
"04-01-2014 19h45";45;0;5;0;0;0;
"04-01-2014 20h00";45;0;5;0;0;0;
"04-01-2014 20h15";46;0;5;0;0;0;
"04-01-2014 20h30";45;0;5;0;0;0;
"04-01-2014 20h45";45;0;6;0;0;0;
"04-01-2014 21h00";45;0;5;0;0;0;
"04-01-2014 21h15";45;0;5;0;0;0;
"04-01-2014 21h30";45;0;5;0;0;0;
"04-01-2014 21h45";45;0;5;0;0;0;
"04-01-2014 22h00";45;0;5;0;0;0;
"04-01-2014 22h15";44;0;5;0;0;0;
"04-01-2014 22h30";44;0;5;0;0;0;
"04-01-2014 22h45";43;0;5;0;0;0;
"04-01-2014 23h00";43;0;5;0;0;0;
"04-01-2014 23h15";42;0;5;0;0;0;
"04-01-2014 23h30";43;0;5;0;0;0;
"04-01-2014 23h45";43;0;5;0;0;0;
"04-01-2014 00h00";42;0;5;0;0;0;
"05-01-2014 00h15";42;0;5;0;0;0;
"05-01-2014 00h30";41;0;5;0;0;0;
"05-01-2014 00h45";41;0;5;0;0;0;
"05-01-2014 01h00";40;0;5;0;0;0;
"05-01-2014 01h15";41;0;5;0;0;0;
"05-01-2014 01h30";40;0;5;0;0;0;
"05-01-2014 01h45";41;0;6;0;0;0;
"05-01-2014 02h00";40;0;5;0;0;0;
"05-01-2014 02h15";41;0;5;0;0;0;
"05-01-2014 02h30";40;0;5;0;0;0;
"05-01-2014 02h45";40;0;5;0;0;0;
"05-01-2014 03h00";40;0;6;0;0;0;
"05-01-2014 03h15";39;0;5;0;0;0;
"05-01-2014 03h30";40;0;5;0;0;0;
"05-01-2014 03h45";39;0;5;0;0;0;
