"02-01-2014 23h00";60;0;20;0;0;0;
"02-01-2014 23h15";59;0;21;0;0;0;
"02-01-2014 23h30";57;0;21;0;0;0;
"02-01-2014 23h45";54;0;18;0;0;0;
"02-01-2014 00h00";47;0;19;0;0;0;
"03-01-2014 00h15";47;0;18;0;0;0;
"03-01-2014 00h30";53;0;19;0;0;0;
"03-01-2014 00h45";52;0;19;0;0;0;
"03-01-2014 01h00";54;0;19;0;0;0;
"03-01-2014 01h15";52;0;20;0;0;0;
"03-01-2014 01h30";54;0;21;0;0;0;
"03-01-2014 01h45";53;0;18;0;0;0;
"03-01-2014 02h00";49;0;17;0;0;0;
"03-01-2014 02h15";43;0;16;0;0;0;
"03-01-2014 02h30";39;0;15;0;0;0;
"03-01-2014 02h45";35;0;15;0;0;0;
"03-01-2014 03h00";35;0;12;0;0;0;
"03-01-2014 03h15";20;0;11;0;0;0;
"03-01-2014 03h30";21;0;14;0;0;0;
"03-01-2014 03h45";20;0;14;0;0;0;
"03-01-2014 04h00";14;0;8;0;0;0;
"03-01-2014 04h15";15;0;10;0;0;0;
"03-01-2014 04h30";22;0;16;0;0;0;
"03-01-2014 04h45";24;0;17;0;0;0;
"03-01-2014 05h00";20;0;16;0;0;0;
"03-01-2014 05h15";19;0;16;0;0;0;
"03-01-2014 05h30";18;0;16;0;0;0;
"03-01-2014 05h45";16;0;14;0;0;0;
"03-01-2014 06h00";10;0;10;0;0;0;
"03-01-2014 06h15";11;0;10;0;0;0;
"03-01-2014 06h30";13;0;11;0;0;0;
"03-01-2014 06h45";11;0;11;0;0;0;
"03-01-2014 07h00";11;0;11;0;0;0;
"03-01-2014 07h15";8;0;7;0;0;0;
"03-01-2014 07h30";9;0;7;0;0;0;
"03-01-2014 07h45";9;0;7;0;0;0;
"03-01-2014 08h00";7;0;7;0;0;0;
"03-01-2014 08h15";9;0;7;0;0;0;
"03-01-2014 08h30";9;0;10;0;0;0;
"03-01-2014 08h45";9;0;8;0;0;0;
"03-01-2014 09h00";10;0;9;0;0;0;
"03-01-2014 09h15";11;0;9;0;0;0;
"03-01-2014 09h30";16;0;9;0;0;0;
"03-01-2014 09h45";15;0;11;0;0;0;
"03-01-2014 10h00";15;0;10;0;0;0;
"03-01-2014 10h15";25;0;17;0;0;0;
"03-01-2014 10h30";29;0;21;0;0;0;
"03-01-2014 10h45";55;0;20;0;0;0;
"03-01-2014 11h00";57;0;20;0;0;0;
"03-01-2014 11h15";73;0;23;0;0;0;
"03-01-2014 11h30";59;0;24;0;0;0;
"03-01-2014 11h45";59;0;24;0;0;0;
"03-01-2014 12h00";66;0;29;0;0;0;
"03-01-2014 12h15";67;0;26;0;0;0;
"03-01-2014 12h30";59;0;24;0;0;0;
"03-01-2014 12h45";65;0;24;0;0;0;
"03-01-2014 13h00";72;0;25;0;0;0;
"03-01-2014 13h15";66;0;24;0;0;0;
"03-01-2014 13h30";59;0;22;0;0;0;
"03-01-2014 13h45";59;0;24;0;0;0;
"03-01-2014 14h00";58;0;24;0;0;0;
"03-01-2014 14h15";55;0;21;0;0;0;
"03-01-2014 14h30";55;0;19;0;0;0;
"03-01-2014 14h45";56;0;19;0;0;0;
"03-01-2014 15h00";51;0;20;0;0;0;
"03-01-2014 15h15";51;0;19;0;0;0;
"03-01-2014 15h30";55;0;21;0;0;0;
"03-01-2014 15h45";50;0;20;0;0;0;
"03-01-2014 16h00";53;0;21;0;0;0;
